Date,Open,High,Low,Close,Adj Close,Volume
2023-12-04,13.720000267028809,13.720000267028809,13.720000267028809,13.720000267028809,13.64758586883545,0
2023-12-05,13.75,13.75,13.75,13.75,13.677427291870117,0
2023-12-06,13.680000305175781,13.680000305175781,13.680000305175781,13.680000305175781,13.607797622680664,0
2023-12-07,13.84000015258789,13.84000015258789,13.84000015258789,13.84000015258789,13.766952514648438,0
2023-12-08,13.90999984741211,13.90999984741211,13.90999984741211,13.90999984741211,13.836583137512207,0
2023-12-11,13.949999809265137,13.949999809265137,13.949999809265137,13.949999809265137,13.876371383666992,0
2023-12-12,14.050000190734863,14.050000190734863,14.050000190734863,14.050000190734863,13.975844383239746,0
2023-12-13,14.210000038146973,14.210000038146973,14.210000038146973,14.210000038146973,14.135000228881836,0
2023-12-14,14.119999885559082,14.119999885559082,14.119999885559082,14.119999885559082,14.119999885559082,0
2023-12-15,14.170000076293945,14.170000076293945,14.170000076293945,14.170000076293945,14.170000076293945,0
2023-12-18,14.270000457763672,14.270000457763672,14.270000457763672,14.270000457763672,14.270000457763672,0
2023-12-19,14.350000381469727,14.350000381469727,14.350000381469727,14.350000381469727,14.350000381469727,0
2023-12-20,14.170000076293945,14.170000076293945,14.170000076293945,14.170000076293945,14.170000076293945,0
2023-12-21,14.3100004196167,14.3100004196167,14.3100004196167,14.3100004196167,14.3100004196167,0
2023-12-22,14.319999694824219,14.319999694824219,14.319999694824219,14.319999694824219,14.319999694824219,0
2023-12-26,14.369999885559082,14.369999885559082,14.369999885559082,14.369999885559082,14.369999885559082,0
2023-12-27,14.390000343322754,14.390000343322754,14.390000343322754,14.390000343322754,14.390000343322754,0
2023-12-28,14.380000114440918,14.380000114440918,14.380000114440918,14.380000114440918,14.380000114440918,0
2023-12-29,14.380000114440918,14.380000114440918,14.380000114440918,14.380000114440918,14.380000114440918,0
