净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,annual_return,net_return,industry_peers,positive_comp,negative_comp,index_peers,rolling_mean,comp_mean,rolling_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,comp_1,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,comp_vol
2022-09-14,1.102,3.663,1.01%,开放申购,开放赎回,,0.0030120481927708997,0.9742021276595739,0.0029560481927708997,0,0,0,0,-9.798699345329177e-05,,-0.02706472029567472,0,0.0,-9.491336686276549,0.00045268806572713156,0.04958540675671614,0.734000027179718,2.72,25.05,6.09,-0.75,0.05430809303067974,0.2097414185395511
2022-09-15,1.076,3.637,-2.36%,开放申购,开放赎回,,-0.007098007098007009,0.9748056821227565,-0.007154007098007008,0,0,0,0,-9.552795801553283e-05,,-0.026421768728845593,0,0.0,-10.133767820908483,0.00045054050382867543,0.0514465255917449,0.7369999885559082,2.72,25.05,6.09,-0.88,0.05560866935655332,0.2087999511846853
2022-09-16,1.078,3.639,0.19%,开放申购,开放赎回,,0.0005499037668408313,0.974558114622389,0.0004939037668408314,0,0,0,0,-9.654463884739206e-05,,-0.02670457479855884,0,0.0,-10.084350041321406,0.0003471364782050908,0.048353441105695824,0.7229999899864197,2.72,25.05,4.67,-0.88,0.05560849836234324,0.21054164851611204
2022-09-19,1.064,3.625,-1.30%,开放申购,开放赎回,,-0.0038472107721900795,0.9605193428722837,-0.0039032107721900795,0,0,0,0,-0.0001547829730984449,,-0.04350887562686132,0,0.0,-10.430274498430906,0.00036363891675869473,0.04721399010559242,0.7279999852180481,2.72,25.05,4.71,-1.0,0.05605276600796873,0.21052861091489716
2022-09-20,1.065,3.626,0.09%,开放申购,开放赎回,,0.0002758620689655711,0.9602754237288131,0.00021986206896557108,0,0,0,0,-0.00015579929164823137,,-0.04379652195068391,0,0.0,-10.405565608637367,0.0003183599053377463,0.04549343428505052,0.734000027179718,2.72,25.05,4.05,-1.0,0.05604599446611401,0.21079906265961018
2022-09-21,1.056,3.617,-0.85%,开放申购,开放赎回,,-0.002482073910645366,0.9601805149986719,-0.002538073910645366,0,0,0,0,-0.00015619368898572806,,-0.043904275177043615,0,0.0,-10.627945616779193,0.00030565851510816987,0.045501885462285445,0.7260000109672546,2.72,25.05,4.01,-0.78,0.056140190389473606,0.2102479705838503
2022-09-22,1.075,3.636,1.80%,开放申购,开放赎回,,0.0052529720763063725,0.967278531524342,0.005196972076306373,0,0,0,0,-0.0001266869772135526,,-0.0354694742648194,0,0.0,-10.158476710702,0.0002951997686224076,0.045893824698651435,0.7149999737739563,2.72,25.05,4.01,-0.57,0.05658655902847463,0.21166360791985933
2022-09-23,1.067,3.628,-0.74%,开放申购,开放赎回,,-0.002200220022002153,0.9648936170212767,-0.002256220022002153,0,0,0,0,-0.0001365519700975173,,-0.03820677195184348,0,0.0,-10.35614782905029,0.0003342409574567629,0.03964945140127479,0.7170000076293945,2.72,25.05,3.62,-1.93,0.05666998771829373,0.21146659687079364
2022-09-26,1.063,3.624,-0.37%,开放申购,开放赎回,,-0.0011025358324145973,0.9656274980015991,-0.0011585358324145974,0,0,0,0,-0.00013351530491653786,,-0.037369092498069606,0,0.0,-10.454983388224434,0.0003221595104974514,0.038664714666597245,0.7289999723434448,2.72,25.05,3.24,-2.33,0.05670402108520575,0.21248160923455076
2022-09-27,1.08,3.641,1.60%,开放申购,开放赎回,,0.004690949227373009,0.9675790592612274,0.0046349492273730095,0,0,0,0,-0.00012540964816158828,,-0.03501588389683447,0,0.0,-10.034932261734317,0.00028663692261430223,0.037386816034325206,0.7519999742507935,2.72,25.05,2.94,-2.06,0.057127245638597564,0.21048710154030517
