Date,159901.SZ,159949.SZ,510050.SS,510300.SS,510500.SS,510900.SS,512100.SS,588000.SS
2010-01-04,2.0869998931884766,,2.51200008392334,,,,,
2010-01-05,2.0934998989105225,,2.5439999103546143,,,,,
2010-01-06,2.0899999141693115,,2.51200008392334,,,,,
2010-01-07,2.049499988555908,,2.4619998931884766,,,,,
2010-01-08,2.058000087738037,,2.4619998931884766,,,,,
2010-01-11,2.0420000553131104,,2.4730000495910645,,,,,
2010-01-12,2.0845000743865967,,2.505000114440918,,,,,
2010-01-13,2.0309998989105225,,2.3940000534057617,,,,,
2010-01-14,2.065500020980835,,2.4159998893737793,,,,,
2010-01-15,2.0799999237060547,,2.421999931335449,,,,,
2010-01-18,2.0994999408721924,,2.4149999618530273,,,,,
2010-01-19,2.0999999046325684,,2.430999994277954,,,,,
2010-01-20,2.0295000076293945,,2.3559999465942383,,,,,
2010-01-21,2.0269999504089355,,2.375999927520752,,,,,
2010-01-22,1.975000023841858,,2.377000093460083,,,,,
2010-01-25,1.9490000009536743,,2.3550000190734863,,,,,
2010-01-26,1.8964999914169312,,2.309000015258789,,,,,
2010-01-27,1.8849999904632568,,2.26200008392334,,,,,
2010-01-28,1.906000018119812,,2.25,,,,,
2010-01-29,1.9079999923706055,,2.24399995803833,,,,,
2010-02-01,1.8795000314712524,,2.2079999446868896,,,,,
2010-02-02,1.871999979019165,,2.2160000801086426,,,,,
2010-02-03,1.9249999523162842,,2.2820000648498535,,,,,
2010-02-04,1.9149999618530273,,2.265000104904175,,,,,
2010-02-05,1.871999979019165,,2.2190001010894775,,,,,
2010-02-08,1.8804999589920044,,2.2119998931884766,,,,,
2010-02-09,1.8865000009536743,,2.2279999256134033,,,,,
2010-02-10,1.9175000190734863,,2.263000011444092,,,,,
2010-02-11,1.9199999570846558,,2.2679998874664307,,,,,
2010-02-12,1.9390000104904175,,2.2869999408721924,,,,,
2010-02-22,1.9279999732971191,,2.2709999084472656,,,,,
2010-02-23,1.9155000448226929,,2.2300000190734863,,,,,
2010-02-24,1.9459999799728394,,2.252000093460083,,,,,
2010-02-25,1.9819999933242798,,2.2869999408721924,,,,,
2010-02-26,1.975000023841858,,2.2799999713897705,,,,,
2010-03-01,1.9950000047683716,,2.318000078201294,,,,,
2010-03-02,1.9869999885559082,,2.311000108718872,,,,,
2010-03-03,2.002000093460083,,2.321000099182129,,,,,
2010-03-04,1.9490000009536743,,2.2690000534057617,,,,,
2010-03-05,1.9509999752044678,,2.2730000019073486,,,,,
2010-03-08,1.9670000076293945,,2.2899999618530273,,,,,
2010-03-09,1.9809999465942383,,2.305999994277954,,,,,
2010-03-10,1.9585000276565552,,2.2960000038146973,,,,,
2010-03-11,1.9550000429153442,,2.303999900817871,,,,,
2010-03-12,1.9229999780654907,,2.2780001163482666,,,,,
2010-03-15,1.8890000581741333,,2.239000082015991,,,,,
2010-03-16,1.8940000534057617,,2.259000062942505,,,,,
2010-03-17,1.941499948501587,,2.305999994277954,,,,,
2010-03-18,1.940000057220459,,2.2939999103546143,,,,,
2010-03-19,1.9635000228881836,,2.313999891281128,,,,,
2010-03-22,1.9630000591278076,,2.315000057220459,,,,,
2010-03-23,1.9500000476837158,,2.2890000343322754,,,,,
2010-03-24,1.9520000219345093,,2.2909998893737793,,,,,
2010-03-25,1.9220000505447388,,2.256999969482422,,,,,
2010-03-26,1.9444999694824219,,2.2960000038146973,,,,,
2010-03-29,1.9900000095367432,,2.365999937057495,,,,,
2010-03-30,1.996500015258789,,2.369999885559082,,,,,
2010-03-31,1.9830000400543213,,2.3499999046325684,,,,,
2010-04-01,2.012500047683716,,2.372999906539917,,,,,
2010-04-02,2.0290000438690186,,2.375,,,,,
2010-04-06,2.0244998931884766,,2.374000072479248,,,,,
2010-04-07,2.0174999237060547,,2.3589999675750732,,,,,
2010-04-08,1.9924999475479126,,2.321000099182129,,,,,
2010-04-09,2.0164999961853027,,2.3420000076293945,,,,,
2010-04-12,1.996000051498413,,2.313999891281128,,,,,
2010-04-13,2.009000062942505,,2.361999988555908,,,,,
2010-04-14,2.0204999446868896,,2.371000051498413,,,,,
2010-04-15,2.012500047683716,,2.365000009536743,,,,,
2010-04-16,1.9910000562667847,,2.3299999237060547,,,,,
2010-04-19,1.8875000476837158,,2.2100000381469727,,,,,
2010-04-20,1.8680000305175781,,2.2019999027252197,,,,,
2010-04-21,1.9164999723434448,,2.2330000400543213,,,,,
2010-04-22,1.906000018119812,,2.181999921798706,,,,,
2010-04-23,1.8984999656677246,,2.1679999828338623,,,,,
2010-04-26,1.8919999599456787,,2.1500000953674316,,,,,
2010-04-27,1.8539999723434448,,2.1110000610351562,,,,,
2010-04-28,1.850000023841858,,2.1050000190734863,,,,,
2010-04-29,1.8135000467300415,,2.0980000495910645,,,,,
2010-04-30,1.8049999475479126,,2.13100004196167,,,,,
2010-05-04,1.7755000591278076,,2.1019999980926514,,,,,
2010-05-05,1.7920000553131104,,2.1070001125335693,,,,,
2010-05-06,1.7100000381469727,,2.009000062942505,,,,,
2010-05-07,1.6660000085830688,,1.9859999418258667,,,,,
2010-05-10,1.6694999933242798,,2.013000011444092,,,,,
2010-05-11,1.6330000162124634,,1.9739999771118164,,,,,
2010-05-12,1.6399999856948853,,2.009000062942505,,,,,
2010-05-13,1.684000015258789,,2.046999931335449,,,,,
2010-05-14,1.6710000038146973,,2.0260000228881836,,,,,
2010-05-17,1.5744999647140503,,1.934999942779541,,,,,
2010-05-18,1.6109999418258667,,1.9769999980926514,,,,,
