净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,annual_return,CAGR,purchase_comments,purchase_days,purchase_days_2,redeem_comments,redeem_days,redeem_days_2,net_return,industry_peers,positive_comp,negative_comp,benchmark_name,benchmark_name_2,index_peers,comp_1,excess_return,rolling_mean,comp_mean,rolling_SR,excess_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,excess_vol,comp_vol
2023-06-12,3.5,3.5,0.46%,开放申购,开放赎回,,0.004592422502870175,-0.10782564364007086,0.0,0,0,0,0,0,0,0.004536422502870175,0,0,0,0,0,0,0.902999997138977,-0.004346143288138649,-0.0003463894430349415,1.0709959988594056,-0.023380625600465773,0.041221766259207496,0,0.0,-27.476170741815224,-0.0004586712138074107,0.7758925492478264,46.62,55.37,66.69,87.46,0.2347193290804592,0.16001647991529436,0.23862353602013417
2023-06-13,3.504,3.504,0.11%,开放申购,开放赎回,,0.0011428571428571122,-0.10885045778229918,0.0,0,0,0,0,0,0,0.001086857142857112,0,0,0,0,0,0,0.9089999794960022,-0.005501641612442043,-0.0003509946649860725,1.0701399986743927,-0.023692496913307052,0.03706626228947075,0,0.0,-27.393286365520154,-0.0004995093845668863,0.7656723377158111,46.62,55.37,66.44,87.46,0.23470914844928956,0.1600600455848397,0.23437876684664463
2023-06-14,3.482,3.482,-0.63%,开放申购,开放赎回,,-0.006278538812785284,-0.11981799797775372,0.0,0,0,0,0,0,0,-0.006334538812785283,0,0,0,0,0,0,0.9070000052452089,-0.004078347068114163,-0.0004005238761883838,1.0692879986763,-0.027037528658350216,0.03585044221394787,0,0.0,-27.849150435143024,-0.00045842876282782585,0.7660326716425985,46.62,55.37,65.97,87.61,0.23469387352480184,0.16011583963318105,0.23437533385475626
2023-06-15,3.603,3.603,3.48%,开放申购,开放赎回,,0.034750143595634775,-0.08553299492385724,0.0,0,0,0,0,0,0,0.034694143595634774,0,0,0,0,0,0,0.9470000267028807,-0.009351313103759473,-0.0002453453442729834,1.0685639986991882,-0.016381543485759292,0.02206916963435415,0,0.0,-25.341898052217193,-0.00045812940050936183,0.7653571169542812,46.62,55.37,65.99,87.8,0.23728120392658417,0.15830923938088576,0.23850016449989916
2023-06-16,3.633,3.633,0.83%,开放申购,开放赎回,,0.008326394671107407,-0.09806355511419917,0.0,0,0,0,0,0,0,0.008270394671107406,0,0,0,0,0,0,0.9629999995231628,-0.008569035496923672,-0.0003013798671113963,1.0680399987697602,-0.020201832735482265,0.020285995984523977,0,0.0,-24.72026523000418,-0.00027688948001503217,0.7747667738721397,46.62,55.37,65.59,88.37,0.2363544596536538,0.15849265461446485,0.2372830662183842
2023-06-19,3.631,3.631,-0.06%,开放申购,开放赎回,,-0.0005505092210295048,-0.11675991243006589,0.0,0,0,0,0,0,0,-0.0006065092210295048,0,0,0,0,0,0,0.9589999914169312,0.0036031855953903014,-0.0003860049427244121,1.067383998632431,-0.025976991144199615,0.009748628443903246,0,0.0,-24.761707418151722,-0.000272571275280181,0.7725721802898082,46.62,55.37,65.05,88.37,0.2354205416524856,0.1556054670695232,0.23576846154213188
2023-06-20,3.642,3.642,0.30%,开放申购,开放赎回,,0.003029468465987284,-0.10844553243574029,0.0,0,0,0,0,0,0,0.002973468465987284,0,0,0,0,0,0,0.962000012397766,-9.881204254780229e-05,-0.00034858908783394905,1.0667839987277985,-0.02346410551117832,0.012294663328988396,0,0.0,-24.533775383340288,-0.00018051912448957357,0.7822581829283817,46.62,55.37,65.05,89.31,0.23536946499339076,0.15547205108728168,0.2356122005495563
2023-06-21,3.601,3.601,-1.13%,开放申购,开放赎回,,-0.01125755079626578,-0.11196054254007337,0.0,0,0,0,0,0,0,-0.011313550796265781,0,0,0,0,0,0,0.9319999814033508,0.019927512205594966,-0.00036424352602513197,1.0660639986991882,-0.024502292105896932,0.03011835650835837,0,0.0,-25.38334024036473,-0.0001971276962668387,0.7828709362889574,46.62,55.37,65.7,89.31,0.23551873692167374,0.15490711422864048,0.23760520436704763
2023-06-26,3.612,3.612,0.31%,开放申购,开放赎回,,0.00305470702582622,-0.11448884530522252,0.0,0,0,0,0,0,0,0.00299870702582622,0,0,0,0,0,0,0.9259999990463256,0.009492456464394672,-0.0003756991738774378,1.065247998714447,-0.02527926698509011,0.031545506418351986,0,0.0,-25.155408205553293,-0.00037245139267600216,0.7900383164403072,46.62,55.37,67.88,88.98,0.23545943552138152,0.15507851973295425,0.23707747693595077
2023-06-27,3.633,3.633,0.58%,开放申购,开放赎回,,0.005813953488372103,-0.13314244810307718,0.0,0,0,0,0,0,0,0.005757953488372104,0,0,0,0,0,0,0.9269999861717224,0.004734053783807646,-0.0004622742008163252,1.0644359986782075,-0.03131458389820266,0.03639006827665844,0,0.0,-24.72026523000418,-0.0003892327495839682,0.7900020255193344,46.62,55.37,67.28,88.71,0.23388014064106868,0.154964508665707,0.2370830667254987
