净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,annual_return,CAGR,purchase_comments,purchase_days,purchase_days_2,redeem_comments,redeem_days,redeem_days_2,net_return,industry_peers,positive_comp,negative_comp,benchmark_name,benchmark_name_2,index_peers,comp_1,excess_return,rolling_mean,comp_mean,rolling_SR,excess_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,excess_vol,comp_vol
2013-05-07,1.0,1.0,,封闭期,封闭期,,,,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,1.4950000047683716,,,1.4589700026512147,,,0,0.0,-0.0,0.0,0.0,4.6,17.26,,,,,0.22070092277158732
2013-05-10,1.0,1.0,0.00%,封闭期,封闭期,,0.0,,0.0,0,0,0,0,0,0,-4.4000000000000006e-05,0,0,0,0,0,0,1.5049999952316284,-0.0066889568102752595,,1.457870002746582,,,0,0.0,-0.0,0.0,0.0,4.6,17.26,,,,,0.2204241547830609
2013-05-17,1.002,1.002,0.20%,封闭期,封闭期,,0.0020000000000000018,,0.0,0,0,0,0,0,0,0.0019560000000000016,0,0,0,0,0,0,1.5425000190734863,-0.022916959442306428,,1.4550700030326844,,,0,0.0,-0.0,0.0,0.0,4.6,17.26,,,,,0.22197817923696594
2013-05-24,1.004,1.004,0.20%,封闭期,封闭期,,0.001996007984031989,,0.0,0,0,0,0,0,0,0.0019520079840319889,0,0,0,0,0,0,1.565000057220459,-0.012590726452760714,,1.453880003452301,,,0,0.0,-0.0,0.0,0.0,4.6,17.26,,,,,0.22147478724345065
2013-05-31,1.003,1.003,-0.10%,封闭期,封闭期,,-0.0009960159362550902,,0.0,0,0,0,0,0,0,-0.0010400159362550902,0,0,0,0,0,0,1.5674999952316284,-0.0025934203578302784,,1.4537400040626527,,,0,0.0,-0.09960159362550915,0.0,0.0,4.6,17.26,,,,,0.22116341723225158
2013-06-07,0.994,0.994,-0.90%,封闭期,封闭期,,-0.008973080757726737,,0.0,0,0,0,0,0,0,-0.009017080757726737,0,0,0,0,0,0,1.4924999475479126,0.03887383976021119,,1.4523400044441224,,,0,0.0,-0.996015936254981,0.0,0.0,4.6,17.26,,,,,0.21955045115537472
2013-06-14,0.99,0.99,-0.40%,封闭期,封闭期,,-0.004024144869215318,,0.0,0,0,0,0,0,0,-0.004068144869215318,0,0,0,0,0,0,1.4574999809265137,0.019426419855360866,,1.4508600044250488,,,0,0.0,-1.3944223107569733,0.0,0.0,4.6,17.26,,,,,0.22216785737630085
2013-06-21,0.988,0.988,-0.20%,封闭期,封闭期,,-0.002020202020202033,,0.0,0,0,0,0,0,0,-0.0020642020202020334,0,0,0,0,0,0,1.3949999809265137,0.04086144519619761,,1.4475800042152405,,,0,0.0,-1.5936254980079694,0.0,0.0,4.6,17.26,,,,,0.22334945348978902
2013-06-28,0.99,0.99,0.20%,封闭期,封闭期,,0.002024291497975783,,0.0,0,0,0,0,0,0,0.001980291497975783,0,0,0,0,0,0,1.3200000524520874,0.05578768182047156,,1.4421200037002564,,,0,0.0,-1.3944223107569624,0.0,0.0,4.6,17.26,,,,,0.2337158851171209
2013-06-30,0.991,0.991,0.10%,封闭期,封闭期,,0.0010101010101009056,,0.0,0,0,0,0,0,0,0.0009661010101009056,0,0,0,0,0,0,,0.0010101010101009056,,,,,0,0.0,-1.2948207171314752,,,4.6,17.26,,,,,
2013-07-05,0.994,0.994,0.30%,封闭期,封闭期,,0.003027245206861817,,0.0,0,0,0,0,0,0,0.002983245206861817,0,0,0,0,0,0,1.347499966621399,-0.017806022275383082,,1.4371900033950806,,,0,0.0,-0.9960159362549699,0.0,0.0,4.6,17.26,,,,,0.23360633567013053
2013-07-08,0.986,0.986,-0.80%,开放申购,开放赎回,,-0.008048289738430636,,0.0,0,0,0,0,0,0,-0.008092289738430637,0,0,0,0,0,0,1.3075000047683716,0.021636283800609668,,1.4362000036239624,,,0,0.0,-1.7928286852589546,0.0,0.0,4.6,17.26,,,,,0.23510852095387352
2013-07-09,0.985,0.985,-0.10%,开放申购,开放赎回,,-0.0010141987829614951,,0.0,0,0,0,0,0,0,-0.0010581987829614951,0,0,0,0,0,0,1.3025000095367432,0.0028098893343568854,,1.435380003452301,,,0,0.0,-1.892430278884453,0.0,0.0,4.6,17.26,,,,,0.2332000441464686
2013-07-10,0.991,0.991,0.61%,开放申购,开放赎回,,0.006091370558375608,,0.0,0,0,0,0,0,0,0.006047370558375609,0,0,0,0,0,0,1.3450000286102295,-0.026538202387732968,,1.4347200036048888,,,0,0.0,-1.294820717131464,0.0,0.0,4.6,17.26,,,,,0.23552962670539457
2013-07-11,1.005,1.005,1.41%,开放申购,开放赎回,,0.01412714429868811,,0.0,0,0,0,0,0,0,0.01408314429868811,0,0,0,0,0,0,1.4049999713897705,-0.030482477636813332,,1.4343300032615662,,,0,0.0,-0.0,0.0,0.0,4.6,17.26,,,,,0.2397344643983214
2013-07-12,0.995,0.995,-1.00%,开放申购,开放赎回,,-0.00995024875621886,,0.0,0,0,0,0,0,0,-0.00999424875621886,0,0,0,0,0,0,1.377500057220459,0.009622644289543736,,1.4338600034713744,,,0,0.0,-0.9950248756218913,0.0,0.0,4.6,17.26,,,,,0.24047220264639238
2013-07-15,0.997,0.997,0.20%,开放申购,开放赎回,,0.0020100502512563345,,0.0,0,0,0,0,0,0,0.0019660502512563343,0,0,0,0,0,0,1.402500033378601,-0.016138752013469038,,1.433420003414154,,,0,0.0,-0.796019900497513,0.0,0.0,4.6,17.26,,,,,0.24087877406040098
2013-07-16,1.002,1.002,0.50%,开放申购,开放赎回,,0.005015045135406293,,0.0,0,0,0,0,0,0,0.004971045135406293,0,0,0,0,0,0,1.4199999570846558,-0.007462618529169518,,1.4330300030708314,,,0,0.0,-0.29850746268655637,0.0,0.0,4.6,17.26,,,,,0.24118669230974443
