净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,annual_return,CAGR,net_return,comp_1,excess_return,rolling_mean,comp_mean,rolling_SR,excess_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,excess_vol,comp_vol
2022-07-28,0.884,0.884,1.14%,限制大额申购,开放赎回,,0.011441647597254079,-0.010078387458007487,0.0,0.011391247597254078,4072.429931640625,-0.0006916910999268389,-5.782041816692285e-06,4365.17331640625,-0.0006941155680498169,,0,0.0,-19.636363636363498,-0.00024273587461104987,-0.1259155581849736,0.23,-10.88,-5.58,-13.69,0.13197442491743397,,0.20304514823731415
2022-07-29,0.888,0.888,0.45%,限制大额申购,开放赎回,,0.004524886877828038,-0.004484304932734773,0.0,0.004474486877828038,4130.2900390625,-0.009682873204753806,1.6796789009289713e-05,4364.1458359375,0.0020152881059189195,,0,0.0,-19.27272727272714,-0.00018234538062540003,-0.11653932624947863,0.23,-10.88,-4.98,-14.8,0.13204728017382236,,0.20355032964161313
2022-08-01,0.89,0.89,0.23%,暂停申购,暂停赎回,,0.0022522522522523403,-0.005586592178770222,0.0,0.0022018522522523403,4118.6298828125,0.005075336379450013,1.235288322009298e-05,4362.927755859375,0.001482370710956606,,0,0.0,-19.090909090908948,-0.0001387547757188521,-0.11371945922357098,0.23,-10.88,-4.69,-15.09,0.13202368345867452,,0.203394135662054
2022-08-02,0.89,0.89,0.00%,限制大额申购,开放赎回,,0.0,-0.0011223344556670067,0.0,-5.04e-05,4091.18994140625,0.006662395550704803,3.0229978192160002e-05,4361.681875,0.0036297665369228204,,0,0.0,-19.090909090908948,-0.00011310897093318684,-0.11573870452353269,0.23,-10.88,-4.94,-15.43,0.13194698666101307,,0.2034486485215376
2022-08-03,0.892,0.892,0.22%,限制大额申购,开放赎回,,0.0022471910112360494,0.003374578177728127,0.0,0.0021967910112360494,4155.169921875,-0.013391286151904103,4.819741788244647e-05,4360.586154296875,0.0057872054503570955,,0,0.0,-18.909090909090757,-0.00018725383003190886,-0.11881851131586177,0.23,-10.88,-4.8,-15.39,0.13194568944707036,,0.20397154186201802
2022-08-04,0.903,0.903,1.23%,限制大额申购,开放赎回,,0.012331838565022402,0.019187358916480157,0.0,0.0122814385650224,4151.93994140625,0.013109178729078241,0.00011102308485344725,4359.447833984375,0.013278065096724297,,0,0.0,-17.909090909090757,-0.00013673141021720115,-0.11652765159909555,0.23,-10.88,-4.51,-15.39,0.13247039521033757,,0.20396398361968035
2022-08-05,0.892,0.892,-1.22%,限制大额申购,开放赎回,,-0.01218161683277963,0.005636978579483198,0.0,-0.01223201683277963,4145.18994140625,-0.010555870773044096,5.778194483609811e-05,4358.299193359375,0.006881226494899156,,0,0.0,-18.909090909090757,-0.00012105949573545436,-0.1155825384020744,0.23,-10.88,-4.42,-17.36,0.13303522167249773,,0.20396769540321397
2022-08-08,0.903,0.903,1.23%,限制大额申购,开放赎回,,0.012331838565022402,0.016891891891891664,0.0,0.0122814385650224,4140.06005859375,0.013569389288876521,0.00010259971623260222,4357.11243359375,0.012167238525041308,,0,0.0,-17.909090909090757,-0.00014205423878906447,-0.11475962654406062,0.23,-10.88,-4.49,-15.37,0.1335963130411901,,0.20396696242174966
2022-08-09,0.904,0.904,0.11%,限制大额申购,开放赎回,,0.001107419712070845,0.013452914798207205,0.0,0.0010570197120708452,4122.47021484375,0.005356112605664931,8.901137706286776e-05,4355.832673828125,0.010561276755917297,,0,0.0,-17.81818181818167,-0.00012721083050489283,-0.1149647234777621,0.23,-10.88,-4.49,-17.19,0.13352710453713068,,0.2040018153463177
2022-08-10,0.904,0.904,0.00%,限制大额申购,开放赎回,,0.0,-4.440892098500626e-16,0.0,-5.04e-05,4210.240234375,-0.021290637641290244,3.51997178700425e-05,4354.830314453125,0.004197723570553408,,0,0.0,-17.81818181818167,-0.00011020981750693774,-0.11830337636764887,0.23,-10.88,-4.49,-16.61,0.13285126123088714,,0.2050873917693913
