净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,annual_return,CAGR,net_return,index_peers,positive_comp,negative_comp,industry_peers,comp_1,excess_return,rolling_mean,comp_mean,rolling_SR,excess_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,excess_vol,comp_vol
2015-06-03,1.0,1.0,,暂停申购,暂停赎回,,,,0.0,,0,0,0,0,3.063499927520752,,,1.8120679926872254,,,0,0.0,-0.0,0.0,0.0,11.03,19.69,,,,,0.24596623980881618
2015-06-05,1.006,1.006,,暂停申购,暂停赎回,,0.006000000000000005,,0.0,0.005960000000000005,0,0,0,0,3.0829999446868896,-0.0003652742377959761,,1.8262719926834106,,,0,0.0,-0.0,0.0,0.0,11.03,19.69,,,,,0.24545236684709096
2015-06-12,1.006,1.006,,暂停申购,暂停赎回,,0.0,,0.0,-4e-05,0,0,0,0,3.1440000534057617,-0.0197859584214386,,1.8627339935302734,,,0,0.0,-0.0,0.0,0.0,11.03,19.69,,,,,0.24471750663090197
2015-06-17,0.996,0.996,,暂停申购,暂停赎回,,-0.00994035785288272,,0.0,-0.00998035785288272,0,0,0,0,3.0350000858306885,0.024728842440863485,,1.8837239942550659,,,0,0.0,-0.9940357852882713,0.0,0.0,11.03,19.69,,,,,0.2475912559889717
2015-06-18,0.99,0.99,-0.60%,暂停申购,暂停赎回,,-0.0060240963855421326,,0.0,-0.006064096385542133,0,0,0,0,2.9200000762939453,0.031867174218909056,,1.8902139945030212,,,0,0.0,-1.5904572564612343,0.0,0.0,11.03,19.69,,,,,0.25100905669384566
2015-06-19,0.981,0.981,-0.91%,暂停申购,暂停赎回,,-0.00909090909090915,,0.0,-0.00913090909090915,0,0,0,0,2.740000009536743,0.05255294777695019,,1.8959239945411681,,,0,0.0,-2.485089463220678,0.0,0.0,11.03,19.69,,,,,0.2591549003843757
2015-06-23,0.988,0.988,0.71%,暂停申购,暂停赎回,,0.007135575942915473,,0.0,0.007095575942915473,0,0,0,0,2.8515000343322754,-0.033557863621846984,,1.9020599946975707,,,0,0.0,-1.7892644135188773,0.0,0.0,11.03,19.69,,,,,0.26186926881121314
2015-06-26,0.974,0.974,,暂停申购,暂停赎回,,-0.014170040485829927,,0.0,-0.014210040485829927,0,0,0,0,2.5280001163482666,0.0992789912830796,,1.9194959950447084,,,0,0.0,-3.1809145129224574,0.0,0.0,11.03,19.69,,,,,0.28277891967459345
2015-06-30,0.987,0.987,,暂停申购,暂停赎回,,0.013347022587268942,,0.0,0.013307022587268942,0,0,0,0,2.6484999656677246,-0.03431905485481668,,1.9294699950218202,,,0,0.0,-1.8886679920477152,0.0,0.0,11.03,19.69,,,,,0.30331444474633334
2015-07-03,0.966,0.966,,暂停申购,暂停赎回,,-0.021276595744680882,,0.0,-0.02131659574468088,0,0,0,0,2.315000057220459,0.10464370358339015,,1.9429479956626892,,,0,0.0,-3.976143141153085,0.0,0.0,11.03,19.69,,,,,0.31374144555630207
2015-07-10,0.973,0.973,,暂停申购,暂停赎回,,0.007246376811594235,,0.0,0.007206376811594235,0,0,0,0,2.2880001068115234,0.01890942205633317,,1.9593459963798523,,,0,0.0,-3.2803180914512953,0.0,0.0,11.03,19.69,,,,,0.36972282933817496
2015-07-17,0.979,0.979,,暂停申购,暂停赎回,,0.006166495375128367,,0.0,0.006126495375128367,0,0,0,0,2.461999893188477,-0.06988235875689064,,1.98103799533844,,,0,0.0,-2.6838966202783436,0.0,0.0,11.03,19.69,,,,,0.39483909851150734
2015-07-24,0.987,0.987,,暂停申购,暂停赎回,,0.008171603677221695,,0.0,0.008131603677221695,0,0,0,0,2.4600000381469727,0.008983892518921954,,2.0044159960746764,,,0,0.0,-1.8886679920477263,0.0,0.0,11.03,19.69,,,,,0.39593703056449675
2015-07-31,0.977,0.977,,暂停申购,暂停赎回,,-0.010131712259371817,,0.0,-0.010171712259371817,0,0,0,0,2.2795000076293945,0.063242282748182,,2.0235659956932066,,,0,0.0,-2.8827037773359976,0.0,0.0,11.03,19.69,,,,,0.41084464069024174
2015-08-07,0.988,0.988,,暂停申购,暂停赎回,,0.011258955987717423,,0.0,0.011218955987717423,0,0,0,0,2.3350000381469727,-0.013088501933678387,,2.042019995212555,,,0,0.0,-1.7892644135189102,0.0,0.0,11.03,19.69,,,,,0.4136353320079874
2015-08-14,0.989,0.989,,暂停申购,暂停赎回,,0.0010121457489877805,,0.0,0.0009721457489877805,0,0,0,0,2.4260001182556152,-0.03796005066299135,,2.0620539965629576,,,0,0.0,-1.6898608349900943,0.0,0.0,11.03,19.69,,,,,0.4151937206330781
2015-08-21,0.974,0.974,,暂停申购,暂停赎回,,-0.015166835187057637,,0.0,-0.015206835187057637,0,0,0,0,2.1549999713897705,0.09653973268430094,,2.07953599691391,,,0,0.0,-3.180914512922501,0.0,0.0,11.03,19.69,,,,,0.4245623341178482
2015-08-28,0.979,0.979,,暂停申购,暂停赎回,,0.005133470225872738,,0.0,0.005093470225872738,0,0,0,0,1.933500051498413,0.10791765715489199,,2.087461996078491,,,0,0.0,-2.6838966202783654,0.0,0.0,11.03,19.69,,,,,0.4529985937322588
2015-09-02,0.978,0.978,,暂停申购,暂停赎回,,-0.0010214504596527396,,0.0,-0.0010614504596527397,0,0,0,0,1.825000047683716,0.05509440210037808,,2.092609996318817,,,0,0.0,-2.7833001988071926,0.0,0.0,11.03,19.69,,,,,0.4539625136246558
2015-09-11,0.98,0.98,,暂停申购,暂停赎回,,0.002044989775051187,,0.0,0.002004989775051187,0,0,0,0,1.9140000343322756,-0.046722124922571995,,2.102101996898651,,,0,0.0,-2.584493041749527,0.0,0.0,11.03,19.69,,,,,0.45618741151100994
2015-09-18,0.976,0.976,,暂停申购,暂停赎回,,-0.004081632653061273,,0.0,-0.0041216326530612735,0,0,0,0,1.807000041007996,0.051822229105022766,,2.107937996864319,,,0,0.0,-2.982107355864836,0.0,0.0,11.03,19.69,,,,,0.47631650540101145
2015-09-25,0.977,0.977,,暂停申购,暂停赎回,,0.0010245901639345245,,0.0,0.0009845901639345244,0,0,0,0,1.7949999570846558,0.007665477629906214,,2.115297996997833,,,0,0.0,-2.8827037773359976,0.0,0.0,11.03,19.69,,,,,0.4773490842799192
2015-09-30,0.982,0.982,,暂停申购,暂停赎回,,0.0051177072671442225,,0.0,0.005077707267144222,0,0,0,0,1.7984999418258667,0.0031678549970108882,,2.1194879970550535,,,0,0.0,-2.385685884691873,0.0,0.0,11.03,19.69,,,,,0.4773167201664039
2015-10-09,0.991,0.991,,暂停申购,暂停赎回,,0.009164969450101923,,0.0,0.009124969450101923,0,0,0,0,1.899999976158142,-0.047270970286004355,,2.1228459968566895,,,0,0.0,-1.491053677932418,0.0,0.0,11.03,19.69,,,,,0.4787289409231837
2015-10-16,1.008,1.008,,暂停申购,暂停赎回,,0.017154389505549927,,0.0,0.01711438950554993,0,0,0,0,2.0415000915527344,-0.05731935637349461,,2.1331939969062805,,,0,0.0,-0.0,0.0,0.0,11.03,19.69,,,,,0.48189076647049345
2015-10-23,1.01,1.01,,暂停申购,暂停赎回,,0.001984126984126977,,0.0,0.001944126984126977,0,0,0,0,2.087500095367432,-0.020548325502667053,,2.144133997917175,,,0,0.0,-0.0,0.0,0.0,11.03,19.69,,,,,0.4861581125058787
2015-10-30,1.015,1.015,,暂停申购,暂停赎回,,0.004950495049504955,,0.0,0.004910495049504955,0,0,0,0,2.072499990463257,0.012136173717239296,,2.156099997520447,,,0,0.0,-0.0,0.0,0.0,11.03,19.69,,,,,0.4861412806830066
2015-11-06,1.024,1.024,,暂停申购,暂停赎回,,0.00886699507389177,,0.0,0.00882699507389177,0,0,0,0,2.248500108718872,-0.07605465465614025,,2.169477998256683,,,0,0.0,-0.0,0.0,0.0,11.03,19.69,,,,,0.4921994016209518
