净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,annual_return,CAGR,purchase_comments,purchase_days,purchase_days_2,redeem_comments,redeem_days,redeem_days_2,net_return,industry_peers,positive_comp,negative_comp,benchmark_name,benchmark_name_2,index_peers,comp_1,excess_return,rolling_mean,comp_mean,rolling_SR,excess_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,excess_vol,comp_vol
2017-09-21,1.0,1.0,,封闭期,封闭期,,,,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,6.081769943237305,,,5.782676679611206,,,0,0.0,-0.0,0.0,0.0,157.56,62.79,,,,,0.1424669171528564
2017-09-22,1.0,1.0,0.00%,封闭期,封闭期,,0.0,,0.0,0,0,0,0,0,0,-5.6e-05,0,0,0,0,0,0,6.036369800567627,0.007464955612166979,,5.78376623916626,,,0,0.0,-0.0,0.0,0.0,157.56,62.79,,,,,0.14261545809549678
2017-09-29,1.001,1.001,,封闭期,封闭期,,0.0009999999999998899,,0.0,0,0,0,0,0,0,0.0009439999999998899,0,0,0,0,0,0,6.081769943237305,-0.0065211002920015915,,5.788470319747924,,,0,0.0,-0.0,0.0,0.0,157.56,62.79,,,,,0.14281551009629476
2017-10-11,1.004,1.004,,封闭期,封闭期,,0.0029970029970030065,,0.0,0,0,0,0,0,0,0.0029410029970030065,0,0,0,0,0,0,6.131539821624756,-0.005186449986580133,,5.793115077972412,,,0,0.0,-0.0,0.0,0.0,157.56,62.79,,,,,0.1418852372979115
2017-10-12,1.004,1.004,0.00%,封闭期,封闭期,,0.0,,0.0,0,0,0,0,0,0,-5.6e-05,0,0,0,0,0,0,6.120190143585205,0.0018510322642809607,,5.794644718170166,,,0,0.0,-0.0,0.0,0.0,157.56,62.79,,,,,0.14189346670657194
2017-10-13,1.003,1.003,-0.10%,封闭期,封闭期,,-0.0009960159362550902,,0.0,0,0,0,0,0,0,-0.0010520159362550903,0,0,0,0,0,0,6.1682000160217285,-0.008840522611728852,,5.796244157791138,,,0,0.0,-0.09960159362550915,0.0,0.0,157.56,62.79,,,,,0.14200536430077185
2017-10-16,1.002,1.002,-0.10%,开放申购,开放赎回,,-0.0009970089730806375,,0.0,0,0,0,0,0,0,-0.0010530089730806376,0,0,0,0,0,0,6.079150199890137,0.013439911992563669,,5.797393117904663,,,0,0.0,-0.19920318725099617,0.0,0.0,157.56,62.79,,,,,0.14271691464911737
2017-10-17,1.003,1.003,0.10%,开放申购,开放赎回,,0.0009980039920158834,,0.0,0,0,0,0,0,0,0.0009420039920158835,0,0,0,0,0,0,6.069550037384033,0.0025771988120874,,5.798060157775879,,,0,0.0,-0.09960159362550915,0.0,0.0,157.56,62.79,,,,,0.14145914096315002
2017-10-18,1.005,1.005,0.20%,开放申购,开放赎回,,0.001994017946161497,,0.0,0,0,0,0,0,0,0.001938017946161497,0,0,0,0,0,0,6.038990020751953,0.007028990298947546,,5.798531597137451,,,0,0.0,-0.0,0.0,0.0,157.56,62.79,,,,,0.14152264670003817
2017-10-19,1.006,1.006,0.10%,开放申购,开放赎回,,0.0009950248756220859,,0.0,0,0,0,0,0,0,0.0009390248756220859,0,0,0,0,0,0,5.977880001068115,0.011114269894051287,,5.7987760772705075,,,0,0.0,-0.0,0.0,0.0,157.56,62.79,,,,,0.14189013277755913
2017-10-20,1.007,1.007,0.10%,开放申购,开放赎回,,0.0009940357852882276,,0.0,0,0,0,0,0,0,0.0009380357852882276,0,0,0,0,0,0,6.038119792938232,-0.009083080493284434,,5.799233556747437,,,0,0.0,-0.0,0.0,0.0,157.56,62.79,,,,,0.14223780355618085
2017-10-23,1.007,1.007,0.00%,开放申购,开放赎回,,0.0,,0.0,0,0,0,0,0,0,-5.6e-05,0,0,0,0,0,0,6.079150199890137,-0.006795229038001338,,5.79990055847168,,,0,0.0,-0.0,0.0,0.0,157.56,62.79,,,,,0.14237947988348548
2017-10-24,1.008,1.008,0.10%,开放申购,开放赎回,,0.0009930486593843213,,0.0,0,0,0,0,0,0,0.0009370486593843213,0,0,0,0,0,0,6.073040008544922,0.0019981548246054137,,5.800724718093872,,,0,0.0,-0.0,0.0,0.0,157.56,62.79,,,,,0.14216721688043366
2017-10-25,1.01,1.01,0.20%,开放申购,开放赎回,,0.001984126984126977,,0.0,0,0,0,0,0,0,0.001928126984126977,0,0,0,0,0,0,6.107089996337891,-0.0036226181953975534,,5.801335878372193,,,0,0.0,-0.0,0.0,0.0,157.56,62.79,,,,,0.1415053371011276
2017-10-26,1.012,1.012,0.20%,开放申购,开放赎回,,0.001980198019801982,,0.0,0,0,0,0,0,0,0.001924198019801982,0,0,0,0,0,0,6.117569923400879,0.0002641717177052083,,5.802093717575073,,,0,0.0,-0.0,0.0,0.0,157.56,62.79,,,,,0.14144046850709419
2017-10-27,1.018,1.018,0.59%,开放申购,开放赎回,,0.005928853754940677,,0.0,0,0,0,0,0,0,0.005872853754940678,0,0,0,0,0,0,6.1044697761535645,0.008070250978240767,,5.802785196304321,,,0,0.0,-0.0,0.0,0.0,157.56,62.79,,,,,0.14145862165936737
2017-10-30,1.016,1.016,-0.20%,开放申购,开放赎回,,-0.0019646365422396617,,0.0,0,0,0,0,0,0,-0.0020206365422396617,0,0,0,0,0,0,5.979619979858398,0.018487556829718366,,5.803012195587158,,,0,0.0,-0.19646365422396872,0.0,0.0,157.56,62.79,,,,,0.14294334003601136
2017-10-31,1.015,1.015,-0.10%,开放申购,开放赎回,,-0.0009842519685040463,,0.0,0,0,0,0,0,0,-0.0010402519685040463,0,0,0,0,0,0,6.023280143737793,-0.008285746716741982,,5.803228715896607,,,0,0.0,-0.294695481335964,0.0,0.0,157.56,62.79,,,,,0.1429164250353129
