净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,positive_comp,negative_comp,rolling_SR,drawdown_duration,drawdown_amount,alpha,beta,comp_1,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,comp_vol
2021-02-01,1.405,3.916,1.37%,开放申购,开放赎回,,0.004875545291249672,0,0,0.035761403151098964,0,0.0,0.0,0.0,0.9490000009536744,2.72,25.05,,,,
2021-02-02,1.436,3.947,2.21%,开放申购,开放赎回,,0.007916241062308593,0,0,0.04462730073009731,0,0.0,0.0,0.0,0.9810000061988832,2.72,25.05,,,,
2021-02-03,1.442,3.953,0.42%,开放申购,开放赎回,,0.0015201418799086763,0,0,0.0710899116663423,0,0.0,0.0,0.0,0.9800000190734864,2.72,25.05,,,,
2021-02-04,1.439,3.95,-0.21%,开放申购,开放赎回,,-0.0007589172780165798,0,0,0.08257217377968165,0,0.0,0.0,0.0,0.9869999885559082,2.72,25.05,,,,
2021-02-05,1.452,3.963,0.90%,开放申购,开放赎回,,0.003291139240506391,0,0,0.0995017941556313,0,0.0,0.0,0.0,0.9959999918937684,2.72,25.05,,,,
2021-02-08,1.47,3.981,1.24%,开放申购,开放赎回,,0.004542013626040786,0,0,0.11772332885423191,0,0.0,0.0,0.0,1.003999948501587,2.72,25.05,,,,
2021-02-09,1.498,4.009,1.90%,开放申购,开放赎回,,0.007033408691283771,0,0,0.13575982838259007,0,0.0,0.0,0.0,1.027999997138977,2.72,25.05,,,,
2021-02-10,1.535,4.046,2.47%,开放申购,开放赎回,,0.009229234222998262,0,0,0.17302332046801172,0,0.0,0.0,0.0,1.065000057220459,2.72,25.05,,,,
2021-02-18,1.487,3.998,-3.13%,开放申购,开放赎回,,-0.011863568956994586,0,0,0.12542011168790637,0,0.0,0.0,0.0,1.0269999504089355,2.72,25.05,,,,
2021-02-19,1.482,3.993,-0.34%,开放申购,开放赎回,,-0.001250625312656406,0,0,0.107567086071767,0,0.0,0.0,0.0,1.037999987602234,2.72,25.05,,,,
2021-02-22,1.408,3.919,-4.99%,开放申购,开放赎回,,-0.018532431755572176,0,0,0.034502805665503726,0,0.0,0.0,0.0,0.9729999899864196,2.72,25.05,,,,
2021-02-23,1.4,3.911,-0.57%,开放申购,开放赎回,,-0.0020413370757846883,0,0,0.021041355446322164,0,0.0,0.0,0.0,0.9649999737739564,2.72,25.05,,,,
2021-02-24,1.351,3.862,-3.50%,开放申购,开放赎回,,-0.012528765021733501,0,0,-0.009473744678743505,0,0.0,0.0,0.0,0.921999990940094,2.72,25.05,,,,
2021-02-25,1.349,3.86,-0.15%,开放申购,开放赎回,,-0.0005178663904713554,0,0,0.0059206423531922864,0,0.0,0.0,0.0,0.906000018119812,2.72,25.05,,,,
2021-02-26,1.32,3.831,-2.15%,开放申购,开放赎回,,-0.007512953367875608,0,0,-0.019137327722130018,0,0.0,0.0,0.0,0.8859999775886536,2.72,25.05,,,,
2021-03-01,1.336,3.847,1.21%,开放申购,开放赎回,,0.004176455233620535,0,0,-0.014167870418557512,0,0.0,0.0,0.0,0.8960000276565552,2.72,25.05,,,,
2021-03-02,1.315,3.826,-1.57%,开放申购,开放赎回,,-0.005458799064205877,0,0,-0.026075397607422415,0,0.0,0.0,0.0,0.8730000257492065,2.72,25.05,,,,
2021-03-03,1.33,3.841,1.14%,开放申购,开放赎回,,0.003920543648719299,0,0,-0.02677326733584861,0,0.0,0.0,0.0,0.8889999985694885,2.72,25.05,,,,
2021-03-04,1.281,3.792,-3.68%,开放申购,开放赎回,,-0.012757094506638977,0,0,-0.06326931047381552,0,0.0,0.0,0.0,0.8489999771118164,2.72,25.05,,,,
2021-03-05,1.284,3.795,0.23%,开放申购,开放赎回,,0.0007911392405064444,0,0,-0.06168204843282994,0,0.0,0.0,0.0,0.8539999723434448,2.72,25.05,,,,
2021-03-08,1.227,3.738,-4.44%,开放申购,开放赎回,,-0.015019762845849827,0,0,-0.10349905601299955,0,0.0,0.0,0.0,0.8050000071525574,2.72,25.05,,,,
2021-03-09,1.203,3.714,-1.96%,开放申购,开放赎回,,-0.006420545746388395,0,0,-0.11006314446510619,0,0.0,0.0,0.0,0.7820000052452087,2.72,25.05,,,,
2021-03-10,1.225,3.736,1.83%,开放申购,开放赎回,,0.005923532579429347,0,0,-0.08700373822960368,0,0.0,0.0,0.0,0.8009999990463257,2.72,25.05,,,,
2021-03-11,1.252,3.763,2.20%,开放申购,开放赎回,,0.007226980728051391,0,0,-0.054393912405528023,0,0.0,0.0,0.0,0.828000009059906,2.72,25.05,,,,
2021-03-12,1.256,3.767,0.32%,开放申购,开放赎回,,0.0010629816635663314,0,0,-0.04933916423276716,0,0.0,0.0,0.0,0.824999988079071,2.72,25.05,,,,
2021-03-15,1.22,3.731,-2.87%,开放申购,开放赎回,,-0.009556676400318542,0,0,-0.0624012336149907,0,0.0,0.0,0.0,0.7940000295639038,2.72,25.05,,,,
2021-03-16,1.236,3.747,1.31%,开放申购,开放赎回,,0.004288394532296902,0,0,-0.05487471538555432,0,0.0,0.0,0.0,0.8100000023841858,2.72,25.05,,,,
2021-03-17,1.248,3.759,0.97%,开放申购,开放赎回,,0.0032025620496396456,0,0,-0.04617161512243069,0,0.0,0.0,0.0,0.8230000138282776,2.72,25.05,,,,
2021-03-18,1.267,3.778,1.52%,开放申购,开放赎回,,0.005054535780792735,0,0,-0.03108211800958998,0,0.0,0.0,0.0,0.8420000076293945,2.72,25.05,,,,
2021-03-19,1.243,3.754,-1.89%,开放申购,开放赎回,,-0.0063525674960296374,0,0,-0.05245528614720797,0,0.0,0.0,0.0,0.8209999799728394,2.72,25.05,,,,
2021-03-22,1.253,3.764,0.80%,开放申购,开放赎回,,0.002663825253063301,0,0,-0.04055595872967339,0,0.0,0.0,0.0,0.8230000138282776,2.72,25.05,,,,
2021-03-23,1.25,3.761,-0.24%,开放申购,开放赎回,,-0.0007970244420828498,0,0,-0.05175037476226443,0,0.0,0.0,0.0,0.824999988079071,2.72,25.05,,,,
2021-03-24,1.245,3.756,-0.40%,开放申购,开放赎回,,-0.0013294336612603708,0,0,-0.04572685100828744,0,0.0,0.0,0.0,0.8199999928474426,2.72,25.05,,,,
2021-03-25,1.252,3.763,0.56%,开放申购,开放赎回,,0.0018636847710329363,0,0,-0.04845977041604568,0,0.0,0.0,0.0,0.8180000185966492,2.72,25.05,,,,
2021-03-26,1.287,3.798,2.80%,开放申购,开放赎回,,0.009301089556205122,0,0,-0.016602316140317347,0,0.0,0.0,0.0,0.8420000076293945,2.72,25.05,,,,
2021-03-29,1.292,3.803,0.39%,开放申购,开放赎回,,0.001316482359136284,0,0,-0.015893450668412388,0,0.0,0.0,0.0,0.8550000190734863,2.72,25.05,,,,
2021-03-30,1.304,3.815,0.93%,开放申购,开放赎回,,0.0031554036287142484,0,0,-0.009016682616092096,0,0.0,0.0,0.0,0.8619999885559082,2.72,25.05,,,,
2021-03-31,1.295,3.806,-0.69%,开放申购,开放赎回,,-0.002359108781127106,0,0,-0.014454875615458454,0,0.0,0.0,0.0,0.8529999852180481,2.72,25.05,,,,
2021-04-01,1.313,3.824,1.39%,开放申购,开放赎回,,0.004729374671571085,0,0,-0.010959357117904278,0,0.0,0.0,0.0,0.8669999837875366,2.72,25.05,,,,
2021-04-02,1.335,3.846,1.68%,开放申购,开放赎回,,0.005753138075313968,0,0,-0.012923373029151038,0,0.0,0.0,0.0,0.8999999761581421,2.72,25.05,,,,
2021-04-06,1.327,3.838,-0.60%,开放申购,开放赎回,,-0.002080083203328087,0,0,-0.02234087493235648,0,0.0,0.0,0.0,0.8949999809265137,2.72,25.05,,,,
2021-04-07,1.318,3.829,-0.68%,开放申购,开放赎回,,-0.002344971339239166,0,0,-0.033106738179368385,0,0.0,0.0,0.0,0.8669999837875366,2.72,25.05,,,,
2021-04-08,1.334,3.845,1.21%,开放申购,开放赎回,,0.004178636719770257,0,0,-0.026860732940885253,0,0.0,0.0,0.0,0.8820000290870667,2.72,25.05,,,,
2021-04-09,1.316,3.827,-1.35%,开放申购,开放赎回,,-0.004681404421326474,0,0,-0.043486587893429844,0,0.0,0.0,0.0,0.8629999756813049,2.72,25.05,,,,
